n,seccion,comentario_limpio
44,5,En esta ocasión fue muy raro ya que no hubo la rapidez y eficacia que los caracteriza.
45,5,CAMBIAR LOS PLATOS Y VASOS DE PLÁSTICO POR VIDRIO
46,5,Excelente servicio
47,1,"La capitana de meseros Erika es muy amable y atenta. Siempre que la visito, está al pendiente de que el servicio que me brindan sea de calidad. Más personas así como ella son las que destacan siempre."
48,4,"La atención y la comida, como siempre, excelente."
49,2,Bueno
50,5,"El mesero se equivocó por un accidente en la comanda y le cobraron el pozole que pidió por error, no se me hace justo y la verdad, si van a hacer algo así, que no sea enfrente de los comensales."
51,1,Todo muy bien.
52,5,"Excelente servicio de meseros, muy amables."
53,5,"Somos de León, Guanajuato, y siempre tenemos la mejor experiencia."
54,5,Excelente servicio
55,1,"No me gustó que el chocolate lo hagan con agua, no sabe bien. Extrañé que lo hicieran con leche porque el precio es alto."
56,5,Muy buen servicio.
57,4,Que tengan rosca de reyes.
58,5,Todo bien.
59,5,El pozole estaba tibio y pedí que lo calentarán. Gracias.
60,5,Muchas gracias.
61,4,Felicitarlos
62,5,Muy bueno
63,1,Sigan así.
64,2,"Las tostadas para pozo son muy duras para las personas de la tercera edad. Sugiero que incluyan agua de jamaica, por favor."
65,1,Que el capitán sea menos eufórico con los botones de las mesas.
66,2,Todo excelente.
67,5,"Germán, muy buena persona, atento y responsable. Esperamos siempre tengan personal así de dedicado. Por mucho, siempre que vengo a la ciudad, la casa de Toño es mi favorita."
68,5,Todo excelente.
69,4,Las porciones de los alimentos son más pequeños y menos aderezos a los alimentos.
70,2,Todo excelente.
71,5,Todo excelente.
72,2,Servicios de TV abierta
73,4,"Flautas de queso, por favor."
74,2,Muy bueno todo.
75,5,Excelente
76,2,"Me desespera que corran, por lo demás, bien."
77,5,Excelente servicio
78,4,Ninguno
79,4,Sabor cambio
80,5,"Ninguno, continúen así 9/10"
81,4,Muy atentos todos.
82,1,"Los amo, bésenme."
83,5,"Que dejen marinar la carne en la sopa más tiempo, si no sabe a agua y los sabores no se integran bien."
84,2,Excelente atención y servicio.
85,1,Cada vez el precio es más alto y la calidad y cantidad de los productos son menores.
86,4,Cerveza cara
87,5,Que no corran
88,2,Excelente atención
89,4,Excelente servicio
90,5,"Los meseros corren (especialmente una mesera con camisa azul) entre las mesas, lo que hace que se sienta movimiento en las mesas."
91,4,"Todo muy bien, los alimentos muy ricos."
92,5,todo bien :)
93,2,Excelente servicio y SABROSO
94,5,Todo excelente
95,5,Las tostadas tienen mucho aceite para mi gusto.
96,2,La atención es buena.
97,4,"Por cambio de cerveza, mi es victoria."
98,2,"Podrían dejar de correr para tener un servicio rápido, la comida llegará corran o no corran, el correr podría causar un accidente entre compañeros o para mi persona que solo vine a comer no me gustaría salir herido o alguno de mi familia, les falta organización."
99,1,Les falta ofrecer Wi-Fi.
100,5,Buen servicio
101,5,Excelente servicio del mesero llamado Germán.
102,1,"Todo muy bien, la atención excelente."
103,5,Excelente por el momento.
104,5,Muy buen restaurante.
105,5,Que avisen si hay redil de café.
106,5,Muy buen servicio.
107,1,"Mmm, pues cada vez parece más Vips, solo que te corren más rápido y te atienden 10 personas distintas."
108,5,Que usen guantes los de cocina.
109,5,Que incluyan mole poblano y pozole blanco y verde.
110,5,Sin comentarios
111,2,"El pollo no nos gustó y las tostadas, muy frías, al igual que las flautas."
112,5,Todo bien por el momento.
113,5,Sin comentarios
114,5,Poner solo una fila y no dos.
115,5,"Mayor limpieza en los baños, por favor."
116,5,Sin comentarios
117,5,Muy bueno
118,5,"Muy buen servicio, continúen así 👍👍👍"
119,5,"La atención y la comida, excelente. Siempre están atentos a que todo vaya bien en tu mesa. Recomendable."
120,5,Ser más rápido a la hora de cobrar.
121,1,Algo le hicieron a las tostadas que tenían un sabor diferente al de siempre.
122,1,"Son excelentes, tío Toño. Tus sobrinos atienden rapidísimo."
123,5,Muy buen servicio. Muy buen servicio.
124,5,Está muy rico todo.
125,5,Me gustó el servicio.
126,5,"Muy bien, excelente servicio y muy buena calidad."
127,5,Muy bueno todo.
128,1,"Están disminuyendo sus estándares de calidad, ahora solo te dejan un tipo de salsa y es cuando lo requieres, y el tamaño del flan de la abuela se ve más pequeño. Aparte, mi jugo de naranja sabía un poco amargo."
129,5,Muy bueno todo.
130,5,"El arroz con leche me pareció duro. El arroz con leche, duro."
131,4,Felicidades.
132,5,Muy bueno por el momento.
133,5,Excelente por el momento.
134,4,"Molestan mucho e insisten en levantar los platos, no dejan comer en paz."
135,4,"Agregar más platillos (gorditas, huaraches, etc.)"
136,2,"Gracias, siempre rico."
137,1,"Todo bien, gracias."
138,5,Todos son amables.
139,5,Ampliar los paquetes de otros platillos.
140,5,El único es servir los platos más calientes.
141,5,Bueno
142,5,Felicidades
143,1,La comida está muy picosa.
144,1,Está rico el pan de elote.
145,5,"Ninguno, muy bueno todo."
146,1,En la carta agregar enmoladas.
147,5,Excelente comida
148,2,"Todo muy bien, esperando que sigan así."
149,5,Excelente servicio. Gracias.
150,1,El pollo de las enchiladas estaba algo crudo y con sabor feo.
151,4,"Nos gustan las tomas, Toño, y el pozole."
152,5,Excelente atención
153,5,Excelente servicio
154,5,Está buena la comida.
155,4,Nos gusta la comida.
156,4,Muy bueno todo.
157,5,Bien bien
158,2,"Es muy importante que puedan mejorar la calidad de sus tostadas; van más de 5 visitas que son extremadamente duras, coriáceas, y las consumen niños y adultos mayores. Ojalá lo tomen en cuenta. Gracias, feliz año."
159,5,"Feliz inicio de año, team de la Casa de Toño."
160,1,Que no se acerquen tantas personas a preguntar lo mismo.
161,2,Buen servicio y sucursal limpia.
162,5,"Todo excelente, gracias."
163,5,Sabor muy rico.
164,5,Muy atentos :)
165,5,Que si den la salsa verde a la mesa.
166,2,Sucursales en Nuevo León
167,5,Es mucho el tiempo de espera.
168,5,Excelente servicio
169,5,"Excelente servicio, calidad y precio. Isai y Janet, excelentes en su servicio."
170,5,Rico pozole
171,1,Está bien el servicio.
172,5,"El comentario es que los alimentos están un poco desproporcionados ya que en años anteriores servían con más cantidad los platillos y has que estar solicitando las salsas ya que antes no era así, cuando antes te traían las salsas y tú escogías la tuya sin estarla solicitándola."
173,2,Muy buena comida. 😬
174,1,Precios muy exagerados en los refrescos y la crema ya no es la misma receta.
175,5,"La recepción, tiempo de espera."
176,2,Que exista 1/2 orden de crema para una persona es mucho desperdicio.
177,5,Excelente comida y servicio. Un lugar icónico en CDMX. ¡Felicidades!
178,1,Pedimos entrada de guacamole para esperar los alimentos y esta llegó después de los alimentos.
179,1,"Solo me gusta venir a la sucursal de Luna Park, felicitaciones."
180,5,"Vi un perro dentro de la sucursal y afuera está un letrero que indica que no se permiten animales... qué onda, sean claros."
181,1,Cómo que no les alcanza para la cebolla.
182,1,"Excelente servicio de los supervisores, amables y atentos."
183,5,Comida muy rica.
184,1,Todo bien.
185,4,Prefiero el pollo deshebrado en el pozole.
186,1,Las tostadas como un poco duras. Cerveza Corona es mejor.
187,4,No
188,4,Todo muy bien.
189,5,"Que pongan wifi, tuve que estar en casa para contestar esto."
190,5,Los quiero mucho.
191,4,Favor de aceptar descuento INAPAM.
192,4,Excelente
193,2,Que continúen con el buen servicio y su calidad en alimentos.
194,4,"Me encanta la casa de Toño, pero definitivamente no para desayunar. Únicamente para comer pozole."
195,2,"Todo muy rico, gracias."
196,1,"El lunes pasado, pedí café de olla y me trajeron el café combinado de olla con café americano. Posteriormente, pedí que me cambiaran el café y me trajeron agua caliente con azúcar. Se los dije y ya no me hicieron caso. Aun así, me lo cobraron. Chequen eso."
197,2,No cambien.
198,4,El chocolate sabe a agua y el jugo verde igual. La calidad bajó mucho de la anterior vez que los visitamos. Ojalá no comiencen a bajar de esa manera la calidad de los platillos.
199,2,El jugo no es natural.
200,2,Gracias.
201,4,Las enchiladas tienen que servirlas calientes; las mías estuvieron frías.
202,1,Precios excesivos
203,1,Todo o
204,4,Ok
205,4,El pan debería estar incluido en el precio y no cobrarlo adicional. Los alimentos deben estar más calientes. Se tardaron mucho en calentar las enchiladas.
206,4,Muy buen servicio.
207,1,Estuvo muy rápido el servicio y todo muy sabroso. 😁
208,1,"Continúen así, gracias."
209,2,"Nos gusta precio, calidad y servicio."
210,2,Todo excelente
211,1,Excelente servicio
212,2,Muy buen servicio.
213,2,Me fascinan los platillos.
214,4,Todo perfecto
215,1,Las tostadas no están tan buenas.
216,2,"Calentar más los alimentos, están fríos."
217,1,Muy satisfactorio
218,1,"Muy buen servicio, son excelentes."
219,2,"Nos gusta precio, calidad y servicio."
220,1,MUY BUEN SERVICIO
221,1,Gran servicio :)
222,1,Agradezco su atención y dedicación a su trabajo.
223,1,Muchas gracias por su atención.
224,2,"Falta una sucursal en Cuautitlán, México."
225,2,Muy amables.
226,4,Ya me tienen hasta el chongo sus encuestas y las tortillas estuvieron duras.
227,2,"Nos gusta los tres: precio, calidad y servicio."
228,4,Cambio el bolillo y ahora está más chico y masudo; la consistencia no me agradó.
229,1,Excelente en todos los aspectos.
230,1,"Excelente atención por parte de Antonino, siempre amable, cordial y servicial. Un gusto visitar la sucursal de Luna Park."
231,2,Que utilicen tortillas de mejor calidad.
232,4,Agregar gorditas al menú y gorditas ahogadas.
233,4,Deberían poner té en el menú y poner las tostadas sin grasa.
234,2,Que por favor sigan así y que en este año puedan ser felices con su familia.
235,5,De momento veo todo en muy buenas condiciones y un excelente servicio.
236,2,Excelente servicio
237,1,El camarero y los meseros tuvieron excelentes atenciones. Gracias por sus excelentes servicios.
238,4,En una escala de uno a diez les doy nueve.
239,4,El pozole que pedí de maciza me lo trajeron con surtida; eso me hace pensar que revuelven la comida que sobra.
240,4,La logística anterior era mejor que la actual.
241,2,Muy bueno todo.
242,4,El pan debería estar más fresco.
243,4,Hoy mi sopé estaba algo duro como si lo hubieran recalentado o dejado enfriar.
244,2,Que los meseros se acerquen a preguntar acerca del servicio.
245,4,El sabor de la salsa verde no fue tan bueno y la calidad de las proteínas ya bajó mucho de calidad.
246,2,"DESDE LUEGO, Y COMO SIEMPRE, EL SERVICIO DESDE LA ENTRADA ES EXCELENTE Y NO SE DIGA DEL PERSONAL. QUE SIEMPRE SE ESMERA POR BRINDAR EL EXCELENTE SERVICIO DEL QUE LES COMENTO. GRACIAS Y MUCHAS FELICIDADES."
247,4,Muy buen servicio.
248,2,Comida fría
249,4,La comida estuvo muy rica.
250,5,"Mi orden fue unos chilaquiles riquísimos, pero si les agregan frijoles, sería de lujo."
251,2,Todo muy bien.
252,4,Gracias
253,1,"POR FAVOR, regresen a los jugos naturales. Los jugos procesados saben HORRIBLES."
254,5,NA
255,4,El pollo tenía un olor raro.
256,2,"Los meseros muy eficientes, sigan así."
257,1,Gracias por dar más caldito. :))))
258,2,"Excelente servicio, muchas gracias. 😘"
259,4,MEJORAR EL SABOR DEL CAFÉ DE OLLA
260,4,"Los bolillos son de muy mal sabor, están duros, no son frescos, muy duros."
261,5,Nos atendió el señor Germán; excelente atención.
262,2,Ninguno
263,1,"Excelente servicio. Pocas veces los visitamos con mi mamá, que es un adulto mayor, y siempre me comenta que le gustaría que no fueran tan salados los platillos. Tal vez una versión sin sal nos ayudaría."
264,1,Todo bien. ¡Felicidades a los colaboradores!
265,5,Varela
266,2,"Nos gusta precio, calidad y servicio."
267,1,"Comunicar que el cappuccino ya tiene mucha azúcar, hay personas diabéticas."
268,2,Todo excelente.
269,5,Excelente servicio
270,4,"Siempre que pedimos una orden de flautas y especificamos de qué sabor es cada pieza, las pedimos de diferente sabor, las traen mal."
271,2,Todo está perfecto.
272,2,Todo bien
273,2,"En el pozole, dar la carne en trozos más pequeños."
274,4,El pozole estaba salado.
275,5,Todo muy bien 👍
276,5,Muy buen servicio y atención.
277,4,Los meseros siempre son muy atentos.
278,5,Los platillos tardaron más de 10 min en llegar; una salsa jamás llegó.
279,2,"El sabor, como siempre, excelente; la atención, rápida y educada. Gracias."
280,5,"Excelente servicio, muy buena comida y excelente ambiente."
281,1,Excelente servicio
282,4,"Todo muy bien, nos encanta disfrutar de sus deliciosos platillos."
283,5,"Muy amables y atentos, muchas gracias."
284,5,"Los limones están agrios y no los revisan, por esta razón echan a perder el platillo. Se solicitó que se cambiara el platillo y solo le pusieron más producto para justificar."
285,4,"Excelente atención y sabor, me encanta La Casa de Toño."
286,4,Feliz año!!!
287,1,Muy bueno el servicio de meseros y gerentes.
288,4,Que sigan como hasta ahora en cuanto a servicio y calidad.
289,2,"Todo en orden, son muy eficientes, pero he notado que las quesadillas últimamente no están tan bien servidas como antes."
290,1,Es un buen lugar para venir a comer.
291,4,"Limonada con mucho jarabe, muy dulce."
292,5,"El chocolate caliente cambió de sabor, ya no me agrada :("
293,5,Excelente servicio de Germán.
294,5,El mesero Germán nos dio un excelente servicio.
295,5,"Excelente, me encantó, soy turista y me encantó."
296,4,Está en una plaza que admite mascotas y en el restaurante no 🤐🥺 sugiero ser congruentes con pet friendly.
297,1,Todo delicioso.
298,2,"Ninguna, ¡atención muy buena!"
299,2,Un menú infantil
300,2,Todo muy bien.
301,1,"Muy buena comida, servicio y trabajadores. Recomiendo este lugar. La mejor comida 😄"
302,2,Sin comentarios
303,1,Todo súper bien.
304,5,Excelente
305,2,Las carnes muy mal de la flauta.
306,2,Buen servicio y calidad en general.
307,2,Las tostadas están duras; es la segunda ocasión que pasa.
308,4,Poner más carne a las flautas.
309,2,"Nos gusta precio, calidad y servicio."
310,1,Ofrecer agua de jamaica dentro de las opciones.
311,2,"Todos muy amables, excelente servicio."
312,2,Muy rico todo y el servicio excelente.
313,4,Gracias
314,4,Que continúe el servicio como hasta ahora.
315,1,Salió un cabello en las enfrijoladas.
316,2,Mayor organización al repartir los platillos.
317,2,Excelente
318,2,Todo bien
319,2,"La carne estaba fría, pero sí cambiaron el plato."
320,4,Las flautas no tenían tanto sabor.
321,1,No
322,4,"Primero, felicitarlos y desear un muy bendecido año 2025. El otro comentario tiene que ver con las tostadas y tostaditas, pues siempre nos han tocado rancias."
323,2,Feliz año
324,4,Todo perfecto.
325,4,Poner más atención en la limpieza de los alimentos.
326,1,Excelente
327,4,Más atención en la mesa cuando asignan a los de capacitación.
328,1,Muy buena atención.
329,1,Mejorar la calidad del pollo.
330,4,Sigan igual que hasta ahora.
331,4,Incluir el pozole blanco.
332,4,Excelente servicio
333,2,Que pongan leche deslactosada.
334,5,Excelente atención al cliente.
335,4,El pozole está muy picante.
336,2,Ya no están tan bien servidas las tostadas.
337,4,Bajar el aire acondicionado.
338,4,Los sopes solos estuvieron muy secos y duros.
339,5,"Al parecer, cambiaron la receta de las flautas de pollo; ahora sabe más chicloso."
340,4,Pedí seis veces un triste bolillo y llegó duro; fue un pancito todo feo.
341,4,"Me agrada mucho la atención, el servicio y el sabor de la comida, y a un precio considerable, también a domicilio."
342,4,"Las porciones han sido reducidas, como que se está volviendo muy industrializado y está perdiendo el toque y sabor casero."
343,1,Fueron muy rápidos y con muy buena calidad; la comida les sacó un 100000.
344,2,Que los alimentos estén más calientes.
345,5,Muy buen servicio.
346,4,Todo muy bien.
347,2,"Cambien de proveedor de bolillo. En las enchiladas rojas, más rojas."
348,4,La crema y el queso en polvo tardaron 20 minutos; al final sí llegaron.
349,1,Implementar alimentos como ensaladas.
350,2,Todo excelente
351,4,Checar el pollo está muy seco.
352,5,"Poner más mesas, que rente todo el piso."
353,4,"El sabor del pollo está muy raro, como si estuviera muy congelado. Demasiada confusión a la entrega de los alimentos con cobro extra."
354,4,Mejorar el servidor CIO.
355,4,No les informaron que ya no había rosca y se quedaron esperando; el pozole traía demasiado gordo.
356,5,Bien
357,5,"Sigan con esa atención tan buena, excelente servicio, 5 estrellas."
358,2,Excelente servicio
359,2,Que vendan pancita y jamaica.
360,2,Que le pongan manos sal al picadillo.
361,4,Checar los gramajes de cada pozole porque venía muy poca carne.
362,2,Que sirvan más caliente los alimentos.
363,4,"Los molletes son de pésima calidad y muy pequeños. Preferiría que siguieran siendo dos como antes, aló que sirven de hoy, y las flautas de carne muy quemada. Favor de no bajar la calidad del producto."
364,2,Que el pozole tenga espinazo.
365,4,Todo perfecto
366,2,Que vendan jamaica.
367,2,Que te entregan todo y se te enfrían las cosas.
368,4,La tortilla del sope un poco tiesa.
369,2,Sólo las tostadas un poco duras.
370,5,"Excelente servicio, todo muy rico."
371,2,Todo perfecto 👌
372,4,"Se encontró un pelo en la tostada, pero el capitán cambió el platillo."
373,4,Considero que en esta sucursal el servicio es muy bueno. Excelente año.
374,2,"Los meseros y la atención son excelentes, igual que sus platillos."
375,5,"En otras sucursales, las tostadas y los meseros están más al pendiente del cliente."
376,5,"Todo muy bien, excelente calidad y servicio."
377,5,Verde el caldo verde de los chilaquiles se encontraba muy ácido.
378,4,Atender los pedidos especiales
379,4,Excelente servicio
380,1,"Regresen la cerveza Corona, es una falta de respeto."
381,1,"Todo muy bien, gracias."
382,5,Rapidez no es efectividad.
383,5,"Cómo son largas filas para entrar, pongan más bancas para que los clientes no se vayan."
384,2,Tostadas un poco duras.
385,4,Recomendaría la casa de Toño de Lomas Verdes.
386,5,"Mi mesa tiene el número 56 y está justo frente a la caja. Es inevitable no voltear a ver porque estaba justo frente a la cajera, que está masticando chicle con la boca abierta y recargada en la barra. También se limpió la nariz con la mano y así entregó el cambio. O sea, se ve que está enferma y, pues, uno agarra el dinero con la mano y no es algo higiénico."
387,1,Gracias.
388,1,Excelente 👌
389,1,Gracias.
390,1,Bien
391,1,Buen servicio.
392,4,"El servicio en esta ocasión estaba confundido; cuando pedíamos algo, teníamos que hacerlo al menos dos ocasiones para ser atendidos. Incluso con el gerente, daba instrucciones, pero no se aseguraba de que se atendiera la solicitud."
393,4,Excelente
394,4,Muy rico siempre. ¡Feliz 2025!
395,1,Tortillas se rompieron. Tres veces pedimos la cuenta.
396,5,Más espacio para esperar.
397,1,La crema nos gustaría mucho que fuera al pura.
398,4,Ninguno
399,5,La música está demasiado alta; no se puede platicar ni recibir llamadas por la música tan alta.
400,5,"Música muy alta, mucho ruido."
401,2,"Excelente servicio, muy rápido, sabor excelente, gracias."
402,5,"Muy buen servicio, excelente calidad y atención."
403,2,Que le pongan menos sal a las salsas.
404,4,Traten bien a sus empleados.
405,2,Todo excelente.
406,5,Poner más atención a la comanda.
407,1,"Deberían ponerle una silla a la chica que está en la entrada pasando a la gente. Está embarazada, es inhumano que no le puedan poner una silla; estar embarazada es cansado y obvio que le duelan los pies."
408,2,Ningún
409,1,"En la sucursal de Luna Parc en Cuautitlán Izcalli, la chica de la entrada está embarazada y me parece injusto que no le proporcionen ni una silla. Si a las chicas que no lo están se cansan mucho, imagínense ella. HUMANIDAD PARA SUS EMPLEADOS, POR FAVOR. Hay pequeñas altas en donde pueden estar cómodamente sentadas sin que se vea mal, si es lo que les preocupa. A mí, como comensal, me preocupa más ver que a sus empleados no les importan, ¿por qué cómo andarán los que no vemos en la cocina? ¡Se pasan, NETA!"
410,1,Todo excelente.
411,2,Sigan así.
412,2,"Siempre todo bueno, sólo hoy no. La pata estaba muy dura y el pozole frío."
413,4,Muy buen servicio.
414,1,"No concibo que la atención sea deficiente entre un turno y otro, ya que esta vez la atención fue muy mala."
415,1,Las tostadas sabían raras.
416,1,No
417,5,"No poner mucho volumen a la música, por favor. Gracias 🙂"
418,2,Deberían vender pambazos.
419,4,Muy rico y rápido.
420,2,Todo bien
421,5,No
422,5,"Excelente sabor, falta organización en el ingreso y acomodo."
423,4,Buenísimo :]
424,5,Continúen brindando el excelente servicio.
425,2,La pata un poco dura.
426,2,Todo estaba muy bueno y la comida fue servida con mucha rapidez.
427,1,Perfecto con el servicio y la calidad.
428,2,"Todo bien, gracias."
429,2,"Pedí tostadas y estaban duras, volví a pedir solicitando que fueran tostadas del día y volvieron a estar duras. Importante mencionar que esto fue el 2 de enero del 2025. No guarden las cosas de días anteriores."
430,4,Chilaquiles el pollo desabrido y pedazos muy grandes
431,2,Todo excelente
432,2,"La chica de la entrada fue muy grosera. No queríamos una mesa cerca de los baños, por lo que nos dijo que entonces nos fuéramos, y si queríamos esperar, era después del muro blanco y afuera de la puerta. Formó a gente dejándonos hasta el final, burlándose de nosotros y traía a mi mamá de la tercera edad."
433,5,Todo me parece bien.
434,2,Todo excelente
435,4,Gracias por todo el buen servicio 😊
436,5,"Los baños no estaban muy limpios. Aparte de esto, todo bien."
437,2,Nos gusta todo.
438,5,"Superbuen servicio y calidad, atención de primera."
439,5,"Si, porfa, me regalan 10,000 millones."
440,5,"Me gusta mucho comer aquí en la casa de Toño, siempre es un buen servicio."
441,2,Muy rica la comida.
442,2,Todo like
443,2,Todo bien
444,5,"Todo está muy bien, solo sugirieron que los alimentos y bebidas se sirvan más calientes."
445,1,Me gustaron los tacos de surtida.
446,5,Meseros muy amables.
447,2,El sabor del chocolate tenía un olor raro y su consistencia fue como a leche caducada.
448,5,"El pozole está frío. Más variedad de postres. El capitán Esteban García, muy amable, es el único que se acerca a mi mesa cada vez que vengo a comer aquí."
449,1,Demasiada azúcar en el chocolate.
450,2,Felicitaciones por tu trabajo.
451,2,"Favor de usar las flautas ahogadas, poner más salsa o ahogadas, no con salsa. Gracias. ¡Felicidades!"
452,2,Agregar platillos nuevos como sugerencia.
453,4,"Se recomienda manejar jugo de zanahoria y el bistec de los chilaquiles más jugoso, sin tanto gordo."
454,2,Todo muy bien.
455,4,No había jabón de manos en el baño. Favor de dar seguimiento.
456,4,"Todo bien, gracias."
457,2,Excelente servicio y atención.
458,4,Todo excelente
459,4,Todo muy bien
460,2,Los jugos son muy artificiales.
461,1,Todo bien.
462,2,Felicitaciones
463,4,"Caldo del pozole más caliente, estaba un poco frío."
464,1,Nos gusta venir muy seguido por la excelente atención y los ricos alimentos que nos ofrece.
465,4,Excelente atención del capitán.
466,2,Excelente servicio en general.
467,1,"Mantener su excelente servicio, calidad y atención."
468,2,El servicio en platos de plástico no me gustó.
469,4,"Por favor, incluir leche deslactosada en su menú de desayuno. El 40% de los adultos mexicanos son intolerantes, en algún grado, a la lactosa. Gracias."
470,4,Todo muy bien.
471,4,Enchiladas llegaron frías. Poner atención en la temperatura de los alimentos.
472,5,"La forma de pago fue por medio de tarjeta de débito. El mesero preguntó si la cuenta sería cerrada o si deseaba agregar propina, por lo que le indiqué que agregara el 10% de propina, pero él se tomó la libertad de agregar el 15%. ""Mal por ese mesero, le entregaré el ticket al capitán""."
473,4,Todo muy bien. Gracias.
474,4,La rosca está un poco dura.
475,5,¡Gracias!
476,2,Muy buen servicio por parte de todos.
477,2,"Excelente atención y servicio, muy recomendable."
478,2,"Nos gusta precio, calidad y servicio."
479,4,"Todo muy bien, lo único es que no hablen los meseros sobre el plato de comida."
480,5,"Hoy recibí el pozole tibio, lo regresé para que lo calentaran un poco más."
481,4,El café de olla no sabe a canela y estaba muy insípido.
482,1,"Mil gracias, ¡felicidades!"
483,2,La comida estaba un poco salada y el café muy dulce.
484,1,Muy rica la comida.
485,1,Felicidades a todos.
486,2,Porción de alimentos debería ser mayor.
487,5,"Excelente, gracias."
488,5,"Muy rica, solo me quitan los platos muy rápido."
489,2,"Sugiero pollo guisado, flautas y quesadillas."
490,4,"Los rábanos, el corte en cuadritos o más chicas las rodajas y las flautas con más grasita."
491,4,Todo excelente.
492,5,Gracias por la comida.
493,2,"Todo super bien, excelente estancia."
494,1,"Nos encantan los desayunos, es una excelente opción para nosotros. Gracias, todo muy rico. ¡¡😋👍🏽!!"
495,5,La asignación de mesa es algo confusa y poco personal.
496,2,"Buena atención, buen servicio 👍"
497,2,Nos gustan los tres.
498,4,Excelente el servicio de todo el personal. ¡Felicidades!
499,5,"La verdad, todo estuvo increíble: alimentos muy buenos y ricos."
500,2,Me gusta el pozole.
501,5,"Ninguno, todo fue excelente."
502,2,Que los precios se mantengan.
503,4,Todo bien.
504,2,El precio de las bebidas es muy caro.
505,1,"Solo un poco de mayor cuidado, nos tocaron 2 cabellos en diferentes alimentos."
506,1,Buen restaurante
507,1,Ninguno
508,1,No me trajeron rápido mi concha. Ya me había terminado mi coffee.
509,1,Buen servicio
510,1,Todo ok
511,2,Nos gusta todo.
512,4,Deberían poner atole.
513,1,"Todo bien, gracias."
514,1,Excelente servicio 👍
515,1,Excelente servicio y muy atentos.
516,1,Los meseros se les olvida lo que pides.
517,4,Falta de Wi-Fi
518,1,Verificar el sabor del requesón.
519,2,"Las porciones en los alimentos son escasas, comparando con otras casas de toño del centro de Izcalli; por ejemplo, la porción del taco de bistec es muy pequeña y el queso rallado de las enfrijoladas también es muy escaso."
520,4,Nos gusta mucho el pozole.
521,2,"No me gusta el bolillo, es más migajón que pan."
522,2,Buen servicio
523,1,"Excelente servicio y atención; los meseros y el personal muy amables, la señorita Magdalena y el mesero Santiago muy buenos."
524,1,Todo bien.
525,2,Nos gusta todo.
526,1,NOS LLAMÓ LA ATENCIÓN QUE TODOS CORRÍAN PARA ATENDER. ESTO NOS HIZO ESTRESARNOS UN POCO. FUERA DE ESO TODO EXCELENTE.
527,1,Muy genial la comida y el precio.
528,4,Mejorar los postres y café de olla.
529,2,"Nos gusta precio, calidad y servicio."
530,2,Todo bien
531,4,Excelente servicio.
532,1,.
533,4,Todo excelente.
534,1,Las salsas debiéramos tenerlas más disponibles.
